127.0.0.1, 2014-01-02 15:38:15, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.002363
127.0.0.1, 2014-01-02 15:38:15, GET, /examples/default/index, HTTP/1.1, 200, 0.021790
127.0.0.1, 2014-01-02 15:38:30, GET, /admin/default/site, HTTP/1.1, 200, 0.077754
127.0.0.1, 2014-01-02 15:38:30, GET, /favicon.ico, HTTP/1.1, 400, 0.000320
127.0.0.1, 2014-01-02 15:38:30, GET, /favicon.ico, HTTP/1.1, 400, 0.000306
127.0.0.1, 2014-01-02 15:38:30, GET, /favicon.ico, HTTP/1.1, 400, 0.000261
127.0.0.1, 2014-01-02 15:38:30, GET, /favicon.ico, HTTP/1.1, 400, 0.000283
127.0.0.1, 2014-01-02 15:38:31, GET, /favicon.ico, HTTP/1.1, 400, 0.000245
127.0.0.1, 2014-01-02 15:38:31, GET, /favicon.ico, HTTP/1.1, 400, 0.000290
127.0.0.1, 2014-01-02 15:38:33, GET, /rxncon/default/index, HTTP/1.1, 200, 0.059817
127.0.0.1, 2014-01-02 15:38:39, GET, /admin/default/edit/rxncon/controllers/default.py, HTTP/1.1, 200, 0.132198
127.0.0.1, 2014-01-02 15:38:39, GET, /admin/default/edit/rxncon/controllers/default.py, HTTP/1.1, 200, 0.065695
127.0.0.1, 2014-01-02 15:38:39, GET, /admin/static/_2.7.3/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.009568
127.0.0.1, 2014-01-02 15:38:39, GET, /admin/static/_2.7.3/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.017609
127.0.0.1, 2014-01-02 15:38:39, GET, /admin/static/_2.7.3/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.015481
127.0.0.1, 2014-01-02 15:38:39, GET, /admin/static/_2.7.3/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.033490
127.0.0.1, 2014-01-02 15:38:39, GET, /admin/static/_2.7.3/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.032785
127.0.0.1, 2014-01-02 15:38:39, GET, /admin/static/_2.7.3/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.031349
127.0.0.1, 2014-01-02 15:38:39, GET, /admin/static/_2.7.3/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.022520
127.0.0.1, 2014-01-02 15:38:40, GET, /admin/static/_2.7.3/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.011615
127.0.0.1, 2014-01-02 15:38:40, GET, /admin/static/_2.7.3/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.003349
127.0.0.1, 2014-01-02 15:38:40, GET, /admin/static/_2.7.3/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.002787
127.0.0.1, 2014-01-02 15:38:40, GET, /admin/static/_2.7.3/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.002436
127.0.0.1, 2014-01-02 15:38:40, GET, /admin/static/_2.7.3/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.001872
127.0.0.1, 2014-01-02 15:38:40, GET, /admin/static/_2.7.3/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.002329
127.0.0.1, 2014-01-02 15:38:40, GET, /admin/static/_2.7.3/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.003315
127.0.0.1, 2014-01-02 15:38:40, GET, /admin/static/_2.7.3/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.002047
127.0.0.1, 2014-01-02 15:38:40, GET, /admin/static/_2.7.3/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.004827
127.0.0.1, 2014-01-02 15:38:40, GET, /admin/static/_2.7.3/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.001863
127.0.0.1, 2014-01-02 15:38:40, GET, /admin/static/_2.7.3/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.002010
127.0.0.1, 2014-01-02 15:38:40, GET, /admin/static/_2.7.3/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.003175
