!!SBtab SBtabVersion='1.0' Document='MODEL1507180055' TableType='Compartment' TableName='Compartment'
!ID	!Name	!Size	!Unit	!SBOTerm
c	cytosol	nan		
e	extracellular	nan		
g	Golgi	nan		
m	Mitochondria	nan		
l	l	nan		
n	Nucleus	nan		
p	periplasm	nan		
r	Endoplasmic reticulum	nan		
x	Glyoxysome	nan		

!!SBtab SBtabVersion='1.0' Document='MODEL1507180055' TableType='Compound' TableName='Compound'
!ID	!Name	!Location	!Charge	!IsConstant	!SBOTerm	!InitialConcentration	!hasOnlySubstanceUnits	!SBML:fbc:chemicalFormula	!SBML:fbc:charge
M_dcamp_c	dcamp_c	c	0	False		nan	False		0
M_dcdp_c	dcdp_c	c	0	False		nan	False		0
M_dcmp_c	dcmp_c	c	0	False		nan	False		0
M_dcsptn1_c	dcsptn1_c	c	0	False		nan	False		0
M_dcsptn1coa_c	dcsptn1coa_c	c	0	False		nan	False		0
M_dcsptn1crn_c	dcsptn1crn_c	c	0	False		nan	False		0
M_dctp_c	dctp_c	c	0	False		nan	False		0
M_dcyt_c	dcyt_c	c	0	False		nan	False		0
M_ddca_c	ddca_c	c	0	False		nan	False		0
M_ddcaACP_c	ddcaACP_c	c	0	False		nan	False		0
M_ddcacoa_c	ddcacoa_c	c	0	False		nan	False		0
M_debrisoquine_c	debrisoquine_c	c	0	False		nan	False		0
M_decdp_c	decdp_c	c	0	False		nan	False		0
M_dedol_L_c	dedol_L_c	c	0	False		nan	False		0
M_dedol_U_c	dedol_U_c	c	0	False		nan	False		0
M_dedoldp_L_c	dedoldp_L_c	c	0	False		nan	False		0
M_dedoldp_U_c	dedoldp_U_c	c	0	False		nan	False		0
M_dedolp_L_c	dedolp_L_c	c	0	False		nan	False		0
M_dedolp_U_c	dedolp_U_c	c	0	False		nan	False		0
M_dgchol_c	dgchol_c	c	0	False		nan	False		0
M_dgdp_c	dgdp_c	c	0	False		nan	False		0
M_dgmp_c	dgmp_c	c	0	False		nan	False		0
M_dgsn_c	dgsn_c	c	0	False		nan	False		0
M_dgtp_c	dgtp_c	c	0	False		nan	False		0
M_dha_c	dha_c	c	0	False		nan	False		0
M_dhap_c	dhap_c	c	0	False		nan	False		0
M_dhbpt_c	dhbpt_c	c	0	False		nan	False		0
M_dhcrm_hs_c	dhcrm_hs_c	c	0	False		nan	False		0
M_dhdascb_c	dhdascb_c	c	0	False		nan	False		0
M_dhea_c	dhea_c	c	0	False		nan	False		0
M_dheas_c	dheas_c	c	0	False		nan	False		0
M_dhf_c	dhf_c	c	0	False		nan	False		0
M_dhor__S_c	dhor__S_c	c	0	False		nan	False		0
M_didp_c	didp_c	c	0	False		nan	False		0
M_digalsgalside_hs_c	digalsgalside_hs_c	c	0	False		nan	False		0
M_digalside_hs_c	digalside_hs_c	c	0	False		nan	False		0
M_dimp_c	dimp_c	c	0	False		nan	False		0
M_din_c	din_c	c	0	False		nan	False		0
M_ditp_c	ditp_c	c	0	False		nan	False		0
M_dkmpp_c	dkmpp_c	c	0	False		nan	False		0
